,loan_amnt,int_rate,grade,sub_grade,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,term_months,emp_length_yrs,fico_score,loan_to_income,credit_history_yrs,revol_util_bucket,log_annual_inc,log_revol_bal,int_rate_sq,addr_state_freq
7306,20000.0,11.22,B,B5,RENT,190000.0,Verified,credit_card,19.16,0.0,1.0,12.0,0.0,25872.0,97.6,24.0,w,Individual,2.0,0.0,36,2.0,677.0,0.10526315789473684,19.33196440793977,maxed,12.154784614286667,10.160955232894292,125.88840000000002,0.1468374339961802
9441,9500.0,10.64,B,B4,OWN,21600.0,Source Verified,debt_consolidation,14.61,0.0,0.0,14.0,0.0,11154.0,15.1,22.0,w,Individual,0.0,0.0,36,1.0,767.0,0.4398148148148148,18.247775496235455,low,9.980494888896912,9.319643106866632,113.20960000000001,0.01820020222446916
9421,8000.0,12.59,C,C2,RENT,75238.0,Verified,medical,8.79,0.0,0.0,8.0,0.0,4628.0,34.3,30.0,w,Individual,0.0,0.0,36,4.0,667.0,0.1063292485180361,12.334017796030116,medium,11.228424992523879,8.44009614103127,158.50809999999998,0.0047185709470845974
6140,8000.0,6.49,A,A2,RENT,40000.0,Not Verified,debt_consolidation,14.34,0.0,0.0,5.0,0.0,3779.0,28.8,17.0,w,Individual,1.0,0.0,36,10.0,742.0,0.2,21.998631074606433,low,10.596659732783579,8.237479288613633,42.1201,0.03538928210313448
2474,35000.0,7.49,A,A4,MORTGAGE,150000.0,Source Verified,credit_card,23.34,0.0,0.0,24.0,0.0,38610.0,43.0,51.0,w,Individual,2.0,0.0,36,0.0,722.0,0.23333333333333334,32.082135523613964,medium,11.918397239722838,10.561292488948782,56.100100000000005,0.08133917537355353
1249,10000.0,25.09,F,F4,RENT,110000.0,Source Verified,medical,11.83,1.0,5.0,20.0,1.0,9415.0,41.3,22.0,w,Individual,0.0,1.0,36,4.0,662.0,0.09090909090909091,6.997946611909651,medium,11.608244735642321,9.150165648940112,629.5081,0.1468374339961802
7644,20000.0,11.99,C,C1,RENT,50000.0,Verified,major_purchase,9.44,0.0,0.0,6.0,0.0,6349.0,36.7,12.0,w,Individual,0.0,0.0,36,8.0,722.0,0.4,12.914442162902121,medium,10.819798284210286,8.756210091886738,143.7601,0.023592854735422986
1618,12000.0,9.8,B,B3,MORTGAGE,70000.0,Not Verified,debt_consolidation,13.46,1.0,0.0,9.0,0.0,7885.0,33.8,14.0,w,Individual,1.0,0.0,36,3.0,707.0,0.17142857142857143,9.166324435318275,medium,11.156264806643742,8.972844314437571,96.04000000000002,0.003595101673969217
4128,15000.0,5.32,A,A1,MORTGAGE,70000.0,Not Verified,debt_consolidation,4.35,1.0,0.0,12.0,0.0,10650.0,34.2,27.0,w,Individual,1.0,0.0,36,0.0,707.0,0.21428571428571427,20.58590006844627,medium,11.156264806643742,9.273409063443165,28.302400000000002,0.1468374339961802
260,14400.0,6.49,A,A2,MORTGAGE,70000.0,Not Verified,debt_consolidation,16.32,0.0,1.0,21.0,0.0,14446.0,74.8,26.0,w,Individual,1.0,0.0,36,8.0,697.0,0.2057142857142857,12.41889117043121,high,11.156264806643742,9.578242059529382,42.1201,0.027749691045949893
9864,35000.0,17.57,D,D4,MORTGAGE,95000.0,Source Verified,credit_card,7.76,0.0,0.0,8.0,0.0,19731.0,65.6,25.0,w,Individual,2.0,0.0,60,10.0,677.0,0.3684210526315789,23.16495550992471,high,11.461642696843066,9.889996962353628,308.7049,0.08077744073699585
4734,14000.0,8.49,B,B1,MORTGAGE,68000.0,Not Verified,debt_consolidation,9.4,0.0,0.0,8.0,0.0,20194.0,30.5,18.0,w,Individual,1.0,0.0,60,10.0,762.0,0.20588235294117646,11.416837782340862,medium,11.127277689932466,9.913190327997514,72.0801,0.08133917537355353
1428,9000.0,13.99,C,C4,RENT,28000.0,Verified,debt_consolidation,24.52,0.0,1.0,8.0,0.0,5749.0,57.5,9.0,w,Individual,0.0,0.0,36,2.0,662.0,0.32142857142857145,3.7508555783709787,medium,10.239995502805314,8.656955133791396,195.7201,0.015054488259746096
2951,10000.0,8.49,B,B1,MORTGAGE,55000.0,Source Verified,debt_consolidation,11.08,0.0,0.0,8.0,1.0,10235.0,68.2,18.0,w,Individual,3.0,0.0,36,10.0,697.0,0.18181818181818182,27.16495550992471,high,10.915106645867501,9.233666197279678,72.0801,0.08133917537355353
5625,6000.0,11.99,C,C1,MORTGAGE,80000.0,Source Verified,debt_consolidation,22.5,2.0,1.0,13.0,0.0,8089.0,28.7,26.0,w,Individual,2.0,0.0,36,6.0,672.0,0.075,10.417522245037645,low,11.289794413577894,8.998384010052536,143.7601,0.012695202786203797
6237,2100.0,8.49,B,B1,RENT,39000.0,Source Verified,debt_consolidation,30.77,0.0,1.0,19.0,0.0,11742.0,28.9,30.0,w,Individual,0.0,0.0,36,4.0,722.0,0.05384615384615385,10.913073237508556,low,10.571342565808699,9.37101259736508,72.0801,0.004493877092461521
2605,2400.0,7.91,A,A5,RENT,26000.0,Not Verified,debt_consolidation,25.92,0.0,0.0,19.0,0.0,2592.0,29.8,19.0,w,Individual,0.0,0.0,36,8.0,727.0,0.09230769230769231,5.166324435318275,low,10.165890277802454,7.860570785538664,62.5681,0.027075609482080664
9396,12000.0,13.67,C,C4,RENT,78000.0,Source Verified,debt_consolidation,13.31,0.0,2.0,10.0,0.0,17330.0,52.4,18.0,w,Individual,0.0,0.0,60,5.0,662.0,0.15384615384615385,7.750855578370979,medium,11.264476926102367,9.760252084449375,186.8689,0.08133917537355353
8329,10000.0,9.17,B,B2,RENT,65000.0,Not Verified,credit_card,8.14,0.0,1.0,10.0,0.0,986.0,6.7,21.0,w,Individual,0.0,0.0,36,10.0,672.0,0.15384615384615385,10.82819986310746,low,11.082157933374816,6.894670039433481,84.0889,0.017189079878665317
3980,5000.0,11.48,B,B5,RENT,65000.0,Source Verified,debt_consolidation,13.74,0.0,3.0,9.0,0.0,4329.0,13.5,30.0,w,Individual,3.0,0.0,36,6.0,747.0,0.07692307692307693,13.500342231348391,low,11.082157933374816,8.373322820996535,131.7904,0.08133917537355353
8501,3600.0,11.22,B,B5,RENT,33000.0,Verified,debt_consolidation,15.7,1.0,0.0,3.0,0.0,7289.0,54.4,4.0,w,Individual,0.0,0.0,36,3.0,682.0,0.10909090909090909,8.334017796030116,medium,10.404293143019792,8.894258825002703,125.88840000000002,0.1468374339961802
7349,30000.0,9.76,B,B3,MORTGAGE,80000.0,Source Verified,debt_consolidation,20.55,0.0,0.0,24.0,0.0,47475.0,54.4,34.0,f,Individual,1.0,0.0,60,10.0,717.0,0.375,28.66803559206023,medium,11.289794413577894,10.767979599176396,95.2576,0.08077744073699585
2334,8750.0,13.44,C,C3,MORTGAGE,25000.0,Not Verified,credit_card,29.81,0.0,3.0,7.0,1.0,9328.0,58.0,18.0,w,Individual,2.0,1.0,36,10.0,682.0,0.35,12.167008898015059,medium,10.12667110305036,9.140883106960962,180.63359999999997,0.07257611504325356
7044,5925.0,13.44,C,C3,OWN,50000.0,Not Verified,credit_card,35.8,1.0,0.0,12.0,0.0,11778.0,32.7,39.0,w,Individual,3.0,0.0,36,,692.0,0.1185,20.16700889801506,medium,10.819798284210286,9.374073563958785,180.63359999999997,0.07257611504325356
9483,8400.0,16.55,D,D2,MORTGAGE,35000.0,Verified,debt_consolidation,39.63,1.0,1.0,14.0,0.0,15671.0,59.1,23.0,f,Individual,1.0,0.0,36,10.0,687.0,0.24,15.080082135523615,medium,10.463131911491967,9.659630959624376,273.90250000000003,0.07257611504325356
1348,7500.0,6.49,A,A2,RENT,52513.0,Not Verified,debt_consolidation,17.05,0.0,0.0,13.0,0.0,7127.0,16.6,18.0,w,Individual,0.0,0.0,36,10.0,717.0,0.14282177746462782,34.247775496235455,low,10.868835079697146,8.871785969150645,42.1201,0.013481631277384564
6675,12600.0,13.99,C,C4,MORTGAGE,35000.0,Source Verified,credit_card,28.01,0.0,1.0,27.0,0.0,24537.0,49.4,32.0,w,Individual,0.0,0.0,36,3.0,687.0,0.36,16.082135523613964,medium,10.463131911491967,10.107978215351128,195.7201,0.08077744073699585
5362,17200.0,11.48,B,B5,OWN,43000.0,Not Verified,credit_card,16.77,0.0,0.0,4.0,0.0,16340.0,68.4,6.0,w,Individual,0.0,0.0,36,5.0,712.0,0.4,12.167008898015059,high,10.668978650219241,9.701432566051784,131.7904,0.07257611504325356
8444,20000.0,7.26,A,A4,MORTGAGE,150000.0,Not Verified,debt_consolidation,9.86,0.0,1.0,13.0,0.0,11296.0,9.9,37.0,w,Individual,4.0,0.0,36,3.0,797.0,0.13333333333333333,17.828884325804243,low,11.918397239722838,9.332292482726928,52.7076,0.023592854735422986
8394,12000.0,6.89,A,A3,MORTGAGE,93000.0,Not Verified,debt_consolidation,28.23,0.0,0.0,9.0,0.0,13203.0,34.7,30.0,w,Individual,4.0,0.0,36,2.0,732.0,0.12903225806451613,11.75085557837098,medium,11.440365524765754,9.488275092973083,47.4721,0.07257611504325356
2234,25000.0,7.91,A,A5,OWN,90000.0,Not Verified,credit_card,11.29,0.0,0.0,11.0,0.0,22593.0,33.1,24.0,w,Individual,3.0,0.0,60,10.0,787.0,0.2777777777777778,28.082135523613964,medium,11.407576060361786,10.025439663286873,62.5681,0.03078305808336142
4456,13000.0,5.32,A,A1,MORTGAGE,104000.0,Not Verified,debt_consolidation,8.71,0.0,1.0,11.0,0.0,21160.0,40.6,27.0,w,Individual,4.0,0.0,36,10.0,747.0,0.125,22.417522245037645,medium,11.552155793461898,9.95991514383477,28.302400000000002,0.0047185709470845974
2199,25000.0,14.85,C,C5,OWN,91500.0,Source Verified,debt_consolidation,4.64,0.0,1.0,12.0,0.0,18890.0,55.7,16.0,w,Individual,2.0,0.0,36,1.0,672.0,0.273224043715847,13.998631074606434,medium,11.42410518016564,9.846440897156851,220.52249999999998,0.0047185709470845974
1529,6000.0,11.99,C,C1,MORTGAGE,95000.0,Source Verified,home_improvement,20.37,0.0,3.0,10.0,0.0,6662.0,43.8,51.0,w,Individual,4.0,0.0,36,10.0,662.0,0.06315789473684211,17.08145106091718,medium,11.461642696843066,8.804325112562537,143.7601,0.014155712841253791
860,1000.0,12.88,C,C2,RENT,45000.0,Not Verified,other,39.11,0.0,0.0,5.0,0.0,10177.0,89.3,19.0,w,Individual,0.0,0.0,36,10.0,697.0,0.022222222222222223,10.33264887063655,high,10.714439990727769,9.227983807148778,165.89440000000002,0.03078305808336142
1227,21825.0,7.91,A,A5,MORTGAGE,80000.0,Not Verified,debt_consolidation,29.35,0.0,0.0,40.0,0.0,28001.0,14.7,60.0,w,Individual,2.0,0.0,36,10.0,777.0,0.2728125,20.418891170431213,low,11.289794413577894,10.24003121517787,62.5681,0.08077744073699585
4582,4500.0,13.44,C,C3,OWN,42000.0,Not Verified,credit_card,23.49,0.0,1.0,17.0,0.0,4475.0,25.4,29.0,w,Individual,1.0,0.0,36,10.0,707.0,0.10714285714285714,11.58384668035592,low,10.645448706505872,8.406485069431815,180.63359999999997,0.1468374339961802
4932,5000.0,16.59,D,D2,RENT,25000.0,Not Verified,debt_consolidation,27.08,0.0,1.0,15.0,0.0,4798.0,82.7,32.0,w,Individual,0.0,0.0,36,6.0,672.0,0.2,13.166324435318275,high,10.12667110305036,8.476162841858246,275.2281,0.003595101673969217
6315,28000.0,7.91,A,A5,MORTGAGE,150000.0,Source Verified,credit_card,26.82,0.0,0.0,17.0,1.0,67338.0,69.7,33.0,w,Individual,1.0,0.0,36,10.0,687.0,0.18666666666666668,24.752908966461327,high,11.918397239722838,11.117494842589952,62.5681,0.08077744073699585
2777,19525.0,13.44,C,C3,MORTGAGE,39072.0,Not Verified,debt_consolidation,20.42,0.0,0.0,8.0,0.0,9559.0,44.5,10.0,w,Individual,1.0,0.0,36,,757.0,0.49971846846846846,18.16563997262149,medium,10.57318697035851,9.165343006045447,180.63359999999997,0.07257611504325356
2882,12000.0,17.97,D,D4,MORTGAGE,40000.0,Not Verified,home_improvement,33.48,0.0,1.0,11.0,1.0,7991.0,52.9,26.0,w,Individual,3.0,1.0,60,5.0,677.0,0.3,16.829568788501028,medium,10.596659732783579,8.98619632032839,322.92089999999996,0.014942141332434558
6041,15000.0,11.99,C,C1,MORTGAGE,120000.0,Verified,renewable_energy,17.3,0.0,0.0,16.0,0.0,16155.0,36.5,23.0,w,Individual,5.0,0.0,36,10.0,712.0,0.125,10.751540041067761,medium,11.695255355062795,9.690046776683303,143.7601,0.029771935737557577
407,8400.0,11.48,B,B5,RENT,80000.0,Source Verified,credit_card,13.92,0.0,0.0,12.0,0.0,6597.0,29.1,61.0,w,Individual,0.0,0.0,36,0.0,712.0,0.105,8.167008898015059,low,11.289794413577894,8.794521851788527,131.7904,0.08077744073699585
2410,26000.0,6.99,A,A3,MORTGAGE,86000.0,Not Verified,debt_consolidation,12.1,0.0,0.0,7.0,0.0,21896.0,74.2,23.0,w,Individual,5.0,0.0,36,10.0,707.0,0.3023255813953488,14.584531143052704,high,11.362114203075018,9.994104920119742,48.8601,0.011122345803842264
8552,28000.0,6.89,A,A3,MORTGAGE,180000.0,Verified,credit_card,13.29,0.0,3.0,16.0,0.0,165078.0,80.0,35.0,w,Individual,7.0,0.0,36,6.0,712.0,0.15555555555555556,21.166324435318277,high,12.100717685412471,12.014179426179162,47.4721,0.1468374339961802
9650,13200.0,9.17,B,B2,RENT,30000.0,Not Verified,credit_card,19.28,0.0,0.0,10.0,0.0,10918.0,49.9,11.0,w,Individual,0.0,0.0,36,2.0,707.0,0.44,8.752908966461328,medium,10.308985993422082,9.298259670014065,84.0889,0.1468374339961802
3846,15000.0,7.49,A,A4,MORTGAGE,130600.0,Not Verified,debt_consolidation,14.19,0.0,1.0,18.0,0.0,16127.0,43.8,41.0,w,Individual,3.0,0.0,36,3.0,722.0,0.11485451761102604,16.829568788501028,medium,11.779902152762993,9.688312170871095,56.100100000000005,0.0012358162004269184
7186,12000.0,11.99,C,C1,MORTGAGE,58000.0,Not Verified,debt_consolidation,11.81,0.0,1.0,7.0,0.0,9089.0,52.8,31.0,w,Individual,2.0,0.0,60,3.0,717.0,0.20689655172413793,23.498973305954827,medium,10.968215530759235,9.114930187171524,143.7601,0.029771935737557577
8966,15000.0,14.48,C,C5,MORTGAGE,52000.0,Not Verified,credit_card,26.3,2.0,2.0,9.0,0.0,7054.0,27.2,35.0,w,Individual,4.0,0.0,60,3.0,722.0,0.28846153846153844,16.082135523613964,low,10.859018228147885,8.861491864286915,209.6704,0.02640152791821144
7740,10000.0,5.32,A,A1,MORTGAGE,80000.0,Not Verified,debt_consolidation,14.51,0.0,0.0,10.0,0.0,17303.0,15.3,22.0,w,Individual,2.0,0.0,36,3.0,782.0,0.125,13.500342231348391,low,11.289794413577894,9.758692967632895,28.302400000000002,0.08133917537355353
7894,23800.0,16.99,D,D3,RENT,137280.0,Verified,debt_consolidation,7.0,1.0,0.0,7.0,0.0,10749.0,46.7,28.0,f,Individual,1.0,0.0,36,3.0,662.0,0.17336829836829837,16.0,medium,11.829785199077541,9.282661033555808,288.66009999999994,0.03460285361195371
7179,6000.0,10.64,B,B4,RENT,31000.0,Source Verified,debt_consolidation,7.24,0.0,0.0,7.0,1.0,3657.0,41.1,10.0,w,Individual,0.0,1.0,36,0.0,677.0,0.1935483870967742,20.914442162902123,medium,10.34177474101152,8.204671828950811,113.20960000000001,0.027749691045949893
8186,15000.0,5.32,A,A1,MORTGAGE,110000.0,Not Verified,credit_card,12.61,0.0,0.0,10.0,0.0,64370.0,33.6,26.0,w,Individual,4.0,0.0,36,10.0,752.0,0.13636363636363635,22.666666666666668,medium,11.608244735642321,11.07241850011319,28.302400000000002,0.1468374339961802
9491,9000.0,11.99,C,C1,MORTGAGE,175000.0,Source Verified,debt_consolidation,15.31,0.0,1.0,17.0,0.0,20205.0,67.6,49.0,w,Individual,5.0,0.0,36,10.0,672.0,0.05142857142857143,17.166324435318277,high,12.072546967175038,9.913734868987678,143.7601,0.010560611167284574
6409,8000.0,13.44,C,C3,MORTGAGE,65000.0,Verified,home_improvement,33.07,1.0,0.0,17.0,0.0,46860.0,49.6,43.0,w,Individual,2.0,0.0,36,2.0,697.0,0.12307692307692308,16.58590006844627,medium,11.082157933374816,10.754941051996273,180.63359999999997,0.023592854735422986
8616,28000.0,9.17,B,B2,MORTGAGE,144800.0,Source Verified,credit_card,25.82,0.0,1.0,13.0,0.0,41551.0,85.1,23.0,w,Individual,2.0,0.0,36,10.0,697.0,0.19337016574585636,21.50034223134839,high,11.883115664987255,10.63470093390253,84.0889,0.017189079878665317
1222,9000.0,6.99,A,A3,MORTGAGE,75000.0,Not Verified,debt_consolidation,19.7,0.0,0.0,13.0,0.0,9429.0,26.4,40.0,w,Individual,10.0,0.0,36,10.0,737.0,0.12,25.66735112936345,low,11.225256725762893,9.151651375627504,48.8601,0.022244691607684528
6547,29950.0,17.27,D,D3,RENT,71088.0,Source Verified,debt_consolidation,20.39,0.0,0.0,9.0,0.0,4109.0,41.5,10.0,w,Individual,0.0,0.0,36,10.0,712.0,0.42130880036011703,4.7529089664613275,medium,11.171687892148547,8.32117830749028,298.2529,0.1468374339961802
6523,9800.0,13.44,C,C3,RENT,40000.0,Verified,debt_consolidation,39.6,1.0,0.0,8.0,0.0,5735.0,53.6,25.0,w,Individual,0.0,0.0,36,4.0,682.0,0.245,13.166324435318275,medium,10.596659732783579,8.654517382279456,180.63359999999997,0.02617683406358836
3039,11675.0,10.78,B,B4,MORTGAGE,100000.0,Not Verified,credit_card,18.1,0.0,2.0,11.0,0.0,14195.0,79.0,32.0,w,Individual,3.0,0.0,36,4.0,677.0,0.11675,22.080766598220396,high,11.51293546492023,9.560715513766386,116.20839999999998,0.03078305808336142
6131,8000.0,13.44,C,C3,MORTGAGE,60000.0,Verified,debt_consolidation,20.14,0.0,0.0,11.0,0.0,6607.0,57.5,23.0,w,Individual,1.0,0.0,36,10.0,672.0,0.13333333333333333,16.0,medium,11.002116507732017,8.796036315200814,180.63359999999997,0.027749691045949893
2693,5000.0,13.44,C,C3,MORTGAGE,35000.0,Verified,debt_consolidation,39.37,2.0,1.0,5.0,1.0,2140.0,97.3,17.0,w,Individual,4.0,0.0,36,6.0,677.0,0.14285714285714285,16.501026694045173,maxed,10.463131911491967,7.669028288589683,180.63359999999997,0.008088978766430738
8404,21600.0,13.67,C,C4,RENT,60000.0,Verified,debt_consolidation,22.68,0.0,0.0,13.0,0.0,15221.0,49.6,29.0,f,Individual,0.0,0.0,60,5.0,702.0,0.36,16.16700889801506,medium,11.002116507732017,9.630497028827337,186.8689,0.08077744073699585
9455,24000.0,11.22,B,B5,RENT,80000.0,Source Verified,debt_consolidation,16.25,0.0,3.0,12.0,0.0,24058.0,68.0,35.0,w,Individual,2.0,0.0,36,10.0,677.0,0.3,19.33196440793977,high,11.289794413577894,10.088264425905146,125.88840000000002,0.1468374339961802
3937,10000.0,11.99,C,C1,RENT,30000.0,Source Verified,small_business,20.92,0.0,0.0,6.0,1.0,6777.0,52.5,10.0,w,Individual,0.0,1.0,36,,707.0,0.3333333333333333,26.080766598220396,medium,10.308985993422082,8.821437352166996,143.7601,0.1468374339961802
3947,5000.0,5.32,A,A1,RENT,80000.0,Source Verified,home_improvement,0.75,0.0,1.0,7.0,0.0,1801.0,13.3,28.0,w,Individual,1.0,0.0,36,0.0,707.0,0.0625,12.24914442162902,low,11.289794413577894,7.496652438168283,28.302400000000002,0.07257611504325356
5536,7500.0,8.49,B,B1,MORTGAGE,77200.0,Not Verified,credit_card,13.26,1.0,0.0,14.0,1.0,6419.0,58.4,25.0,w,Individual,0.0,1.0,36,3.0,672.0,0.09715025906735751,17.166324435318277,medium,11.254167689296848,8.767173396684006,72.0801,0.020784181552634534
1247,15000.0,12.88,C,C2,MORTGAGE,46000.0,Verified,credit_card,29.79,2.0,3.0,12.0,1.0,6852.0,28.0,53.0,w,Individual,0.0,1.0,36,10.0,682.0,0.32608695652173914,19.16495550992471,low,10.736418414365374,8.832441791585824,165.89440000000002,0.07257611504325356
9072,24175.0,9.76,B,B3,RENT,52575.0,Verified,debt_consolidation,24.88,0.0,0.0,9.0,0.0,21882.0,52.2,20.0,w,Individual,2.0,0.0,36,10.0,692.0,0.45981930575368524,24.334017796030118,medium,10.870015020836995,9.99346535865436,95.2576,0.07257611504325356
3635,35000.0,18.99,E,E1,OWN,96437.0,Verified,debt_consolidation,25.29,0.0,3.0,13.0,0.0,49798.0,64.3,36.0,w,Individual,6.0,0.0,36,7.0,672.0,0.3629312400842,24.334017796030118,high,11.476655593797195,10.815750182489847,360.6200999999999,0.07257611504325356
573,12600.0,6.99,A,A3,RENT,73000.0,Not Verified,credit_card,5.56,0.0,1.0,3.0,0.0,8699.0,77.4,7.0,w,Individual,0.0,0.0,36,1.0,682.0,0.1726027397260274,23.416837782340863,high,11.19822841866684,9.071078304642676,48.8601,0.08077744073699585
348,10000.0,6.99,A,A3,MORTGAGE,60000.0,Not Verified,other,29.15,0.0,1.0,18.0,0.0,7056.0,32.7,45.0,w,Individual,4.0,0.0,36,10.0,712.0,0.16666666666666666,20.501026694045173,medium,11.002116507732017,8.86177531100083,48.8601,0.01752612066059993
1552,5600.0,11.99,C,C1,RENT,80000.0,Verified,debt_consolidation,16.41,2.0,0.0,11.0,0.0,5781.0,80.3,24.0,w,Individual,1.0,0.0,36,2.0,662.0,0.07,10.82819986310746,high,11.289794413577894,8.662504922576291,143.7601,0.010560611167284574
9552,14000.0,7.26,A,A4,RENT,45000.0,Source Verified,credit_card,26.64,0.0,0.0,5.0,1.0,5379.0,47.2,8.0,w,Individual,0.0,1.0,36,4.0,702.0,0.3111111111111111,14.417522245037645,medium,10.714439990727769,8.59044365315583,52.7076,0.07257611504325356
8224,10650.0,17.57,D,D4,MORTGAGE,63000.0,Source Verified,debt_consolidation,33.03,0.0,0.0,17.0,0.0,23858.0,59.9,34.0,w,Individual,2.0,0.0,60,10.0,707.0,0.16904761904761906,15.080082135523615,medium,11.050905878263567,10.079916783625245,308.7049,0.02640152791821144
9202,2150.0,18.99,E,E3,MORTGAGE,41000.0,Verified,debt_consolidation,31.06,0.0,0.0,16.0,0.0,28525.0,65.1,53.0,f,Individual,2.0,0.0,36,10.0,667.0,0.0524390243902439,25.248459958932237,high,10.62135173563291,10.258571231083367,360.6200999999999,0.017189079878665317
4472,15000.0,13.44,C,C3,RENT,60000.0,Not Verified,debt_consolidation,18.44,0.0,1.0,13.0,1.0,13616.0,37.0,17.0,w,Individual,0.0,1.0,60,0.0,712.0,0.25,13.585215605749486,medium,11.002116507732017,9.519074291124575,180.63359999999997,0.08077744073699585
9293,10800.0,11.99,C,C1,RENT,56000.0,Source Verified,debt_consolidation,24.3,0.0,0.0,8.0,0.0,5549.0,47.8,22.0,w,Individual,1.0,0.0,36,10.0,677.0,0.19285714285714287,12.914442162902121,medium,10.933124826700706,8.62155320674048,143.7601,0.014155712841253791
2036,12000.0,10.78,B,B4,RENT,81900.0,Source Verified,credit_card,11.59,1.0,0.0,16.0,0.0,10874.0,41.2,34.0,w,Individual,0.0,0.0,36,0.0,687.0,0.14652014652014653,11.247091033538672,medium,11.313266479778829,9.294221855956884,116.20839999999998,0.08133917537355353
1828,35000.0,10.78,B,B4,MORTGAGE,225000.0,Source Verified,credit_card,24.71,0.0,0.0,13.0,0.0,210583.0,69.3,32.0,w,Individual,3.0,0.0,60,4.0,702.0,0.15555555555555556,12.829568788501026,high,12.323860125621124,12.257639902386579,116.20839999999998,0.003370407819346141
2341,21000.0,15.77,D,D1,MORTGAGE,120000.0,Verified,moving,24.36,1.0,3.0,10.0,0.0,10554.0,72.3,27.0,w,Individual,5.0,0.0,36,3.0,662.0,0.175,23.247091033538673,high,11.695255355062795,9.264354960282422,248.69289999999998,0.002696326255476913
5319,7200.0,7.49,A,A4,MORTGAGE,79990.0,Source Verified,credit_card,11.14,0.0,0.0,10.0,0.0,9930.0,25.9,34.0,w,Individual,2.0,0.0,36,10.0,772.0,0.09001125140642581,19.83025325119781,low,11.289669407327418,9.203416456903359,56.100100000000005,0.028423772609819122
